n10255,n17521,5.17173693728e-05
n6129,n13045,6.31426133805e-05
n284,n17473,5.41477149664e-05
n7711,n17445,6.14576738354e-05
n18416,n11833,7.55890789074e-05
n16267,n2174,5.49094932492e-05
n17092,n7458,7.49855389535e-05
n3821,n3734,5.42139579204e-05
n12386,n2624,5.41477149664e-05
n3059,n15970,0.000185497627046
n8951,n18163,0.0001082895663
n12764,n9864,0.000118497193827
n17327,n15665,5.41477149664e-05
n14169,n5503,4.68004523295e-05
n10846,n2624,5.41477149664e-05
n3969,n13367,9.35925273986e-05
n11824,n13340,5.41477149664e-05
n16176,n13300,7.69899896116e-05
n13804,n6549,9.15520825478e-05
n2220,n9438,5.41477149664e-05
n10790,n7431,9.88574794232e-05
n8509,n1928,0.000232231608999
n321,n14729,6.61999747644e-05
n11346,n11322,0.000124793466372
n8317,n14498,6.68407579476e-05
n18391,n16260,7.25255845031e-05
n12733,n7286,5.41477149664e-05
n17631,n12549,8.9143552938e-05
n7680,n2000,0.000102986960234
n17073,n2624,5.41477149664e-05
n10720,n14584,7.21847279453e-05
n7976,n9108,5.41477149664e-05
n1738,n5010,9.96780033103e-05
n13880,n9392,5.00895855192e-05
n15011,n12566,5.36787616074e-05
n9691,n9868,5.01790511475e-05
n13289,n2624,5.41477149664e-05
n17468,n4319,0.000149959512897
n795,n7367,0.000166577864961
n13608,n4481,4.7518347742e-05
n14097,n10391,5.41477149664e-05
n9734,n2785,5.74647822689e-05
n12241,n3165,4.90039741118e-05
n7406,n12660,4.43633833749e-05
n8947,n3081,5.41477149664e-05
n13591,n11776,0.000196398512838
n856,n5372,5.86449129334e-05
n7250,n5770,5.41477149664e-05
n5438,n10200,6.15726098784e-05
n5678,n2201,0.000120252493379
n1589,n10892,8.67947064964e-05
n13981,n4644,4.30661816186e-05
n7691,n12464,5.19610667984e-05
n2799,n16252,0.000510621173451
n12241,n8888,5.60655915384e-05
n12804,n16397,5.41477149664e-05
n6971,n6049,9.51130205895e-05
n17184,n10790,0.000117685027449
n9864,n2081,0.000120326906448
n689,n806,0.00021655567807
n657,n3020,0.000425702819998
n9479,n6213,6.77927564825e-05
n16393,n654,7.05710829478e-05
n804,n7542,8.20696403379e-05
n8855,n12624,5.41477149664e-05
n10400,n10114,6.35697666889e-05
n16045,n7262,5.41477149664e-05
n1737,n16261,0.000104982523823
n3621,n4665,4.39596085431e-05
n4221,n6767,5.41477149664e-05
n18382,n9234,4.96262627823e-05
n14485,n6124,6.04208093738e-05
n15496,n6270,8.8161327374e-05
n998,n9085,5.41477149664e-05
n4211,n18215,4.60896698348e-05
n7844,n9843,4.71199130884e-05
n3339,n7631,0.000234556288432
n10049,n9282,0.000222814755047
n6682,n11408,0.000189909986459
n2480,n4738,5.6290131085e-05
n138,n3206,5.41477149664e-05
n16696,n5515,5.41477149664e-05
n339,n4478,5.41477149664e-05
n12464,n16010,0.000100211382343
n12280,n12602,6.06589540125e-05
n6026,n18456,0.000156186266264
n216,n9612,5.41477149664e-05
n7036,n11678,5.98877970863e-05
n17895,n1247,4.57766339327e-05
n5153,n10722,4.44356408096e-05
n7420,n5008,5.41477149664e-05
n20,n17960,5.26294299518e-05
n9942,n11594,0.000142218560885
n10076,n10612,0.000108464124379
n11143,n15948,0.000108650614529
n10255,n8556,5.44729330206e-05
n4172,n4682,4.94879949941e-05
n11068,n2624,5.41477149664e-05
n4224,n16387,4.01052404181e-05
n13284,n17995,0.0001082895663
n12431,n3694,5.41477149664e-05
n13608,n7578,6.10482565442e-05
n13445,n17837,3.47405365792e-05
n10990,n5057,0.000157114210412
n7382,n12033,7.84767862746e-05
n7540,n15719,7.31756498385e-05
n7089,n7530,5.41477149664e-05
n4640,n7798,6.42883639702e-05
n12269,n8796,4.38629720954e-05
n12131,n9864,5.30173549301e-05
n8675,n8435,4.74707469717e-05
n13978,n11170,5.85752859558e-05
n8873,n18099,5.13607780843e-05
n11156,n9568,4.52588070535e-05
n18291,n15051,5.41477149664e-05
n1478,n7720,0.000101580470999
n2397,n8435,5.42803772538e-05
n2657,n6208,6.3517758913e-05
n638,n5677,8.38435778278e-05
n4827,n2193,8.01864542921e-05
n5428,n6173,0.000140683783714
n13771,n12626,5.41477149664e-05
n7811,n13794,4.60283674226e-05
n9770,n12033,5.41477149664e-05
n9978,n12514,4.78049641527e-05
n10035,n1379,5.41477149664e-05
n10255,n14885,4.28815813318e-05
